username,email,birthday,group,phone,type
aidos,aidos@gmail.com,2002-05-14,Friend,87011234567,mobile
aidos,aidos@gmail.com,2002-05-14,Friend,87019876543,work
dias,dias@mail.com,2001-11-02,Work,87025551234,mobile
dias,dias@mail.com,2001-11-02,Work,87029998877,home
aidana,aidana@yahoo.com,2000-03-25,Family,87031234567,mobile
aidana,aidana@yahoo.com,2000-03-25,Family,87034445566,home
nurbol,nurbol@outlook.com,2001-07-19,Friend,87045556677,mobile
aigerim,aigerim@gmail.com,2003-09-10,Other,87056667788,mobile
aigerim,aigerim@gmail.com,2003-09-10,Other,87057778899,work
askar,askar@mail.com,1999-12-30,Work,87061234567,mobile
dana,dana@gmail.com,2004-01-15,Friend,87062345678,mobile
dana,dana@gmail.com,2004-01-15,Friend,87063456789,home
temir,temir@yahoo.com,1998-06-21,Family,87064567890,mobile
yerbol,yerbol@gmail.com,2002-08-05,Other,87065678901,mobile
ruslan,ruslan@gmail.com,2001-10-11,Work,87066789012,mobile
aliya,aliya@mail.com,2003-02-17,Friend,87067890123,mobile
madina,madina@yahoo.com,2000-04-29,Family,87068901234,home
kanat,kanat@gmail.com,1999-11-08,Work,87069012345,mobile
zhansaya,zhansaya@gmail.com,2002-07-03,Friend,87060123456,mobile
dias_bek,diasbek@outlook.com,1998-09-27,Other,87061239876,mobile
